TIME,SEGMENTID,BUS COUNT                ,MESSAGE COUNT,SPEED
01/23/2013 11:50:32 PM,707,1.0,8.0,17
12/07/2014 11:50:32 PM,778,0.0,0.0,-1
12/07/2014 11:50:32 PM,824,1.0,8.0,29
01/31/2013 11:50:32 PM,291,1.0,7.0,16
02/11/2013 11:50:32 PM,832,0.0,0.0,-1
02/12/2013 11:50:32 PM,209,1.0,14.0,12
02/03/2013 11:50:32 PM,845,0.0,0.0,-1
11/25/2014 11:50:32 PM,26,1.0,5.0,20
01/18/2013 11:50:32 PM,1171,1.0,9.0,40
01/29/2013 11:50:32 PM,252,0.0,0.0,-1
02/15/2013 11:50:32 PM,4,1.0,11.0,18
12/29/2014 11:50:32 PM,517,2.0,13.0,24
02/15/2013 11:50:32 PM,889,4.0,10.0,50
02/07/2013 11:50:32 PM,594,3.0,6.0,46
01/21/2013 11:50:32 PM,53,0.0,0.0,-1
01/17/2013 11:50:32 PM,232,2.0,9.0,38
12/18/2014 11:50:32 PM,402,0.0,0.0,-1
12/12/2014 11:50:32 PM,515,1.0,5.0,23
01/26/2013 11:50:32 PM,542,1.0,7.0,17
12/26/2014 11:50:32 PM,895,1.0,1.0,47
12/11/2014 11:50:32 PM,301,0.0,0.0,-1
02/16/2013 11:50:32 PM,824,0.0,0.0,-1
01/25/2013 11:50:32 PM,17,0.0,0.0,-1
11/28/2014 11:50:32 PM,1244,0.0,0.0,-1
12/11/2014 11:50:32 PM,196,1.0,7.0,25
02/28/2013 11:50:32 PM,1270,7.0,75.0,16
12/02/2014 11:50:32 PM,162,2.0,13.0,26
02/03/2013 11:50:32 PM,384,0.0,0.0,-1
11/27/2014 11:50:32 PM,237,0.0,0.0,-1
12/14/2014 11:50:32 PM,1265,2.0,9.0,24
01/16/2013 11:50:32 PM,1300,8.0,44.0,17
12/13/2014 11:50:32 PM,228,0.0,0.0,-1
02/01/2013 11:50:32 PM,828,1.0,6.0,31
01/23/2013 11:50:32 PM,1225,0.0,0.0,-1
01/29/2013 11:50:32 PM,275,0.0,0.0,-1
12/02/2014 11:50:32 PM,496,0.0,0.0,-1
02/22/2013 11:50:32 PM,17,0.0,0.0,-1
01/25/2013 11:50:32 PM,574,0.0,0.0,-1
12/05/2014 11:50:32 PM,770,0.0,0.0,-1
12/06/2014 11:50:32 PM,777,0.0,0.0,-1
01/15/2013 11:50:32 PM,159,1.0,9.0,28
12/18/2014 11:50:32 PM,856,1.0,8.0,31
12/26/2014 11:50:32 PM,960,0.0,0.0,-1
02/06/2013 11:50:32 PM,238,1.0,4.0,25
02/17/2013 11:50:32 PM,457,0.0,0.0,-1
11/27/2014 11:50:32 PM,118,0.0,0.0,-1
02/23/2013 11:50:32 PM,888,0.0,0.0,-1
12/14/2014 11:50:32 PM,785,0.0,0.0,-1
12/05/2014 11:50:32 PM,1249,0.0,0.0,-1
02/02/2013 11:50:32 PM,708,2.0,13.0,25
12/06/2014 11:50:32 PM,1227,0.0,0.0,-1
12/26/2014 11:50:32 PM,845,1.0,7.0,20
01/27/2013 11:50:32 PM,806,2.0,5.0,36
12/09/2014 11:50:32 PM,209,1.0,5.0,19
11/26/2014 11:50:32 PM,816,0.0,0.0,-1
02/04/2013 11:50:32 PM,1040,0.0,0.0,-1
11/25/2014 11:50:32 PM,556,0.0,0.0,-1
12/20/2014 11:50:32 PM,1285,1.0,2.0,22
02/20/2013 11:50:32 PM,831,0.0,0.0,-1
12/23/2014 11:50:32 PM,765,2.0,9.0,25
02/03/2013 11:50:32 PM,54,0.0,0.0,-1
12/12/2014 11:50:32 PM,279,0.0,0.0,-1
02/12/2013 11:50:32 PM,277,1.0,16.0,22
01/17/2013 11:50:32 PM,221,1.0,6.0,30
01/16/2013 11:50:32 PM,252,0.0,0.0,-1
11/27/2014 11:50:32 PM,972,0.0,0.0,-1
01/19/2013 11:50:32 PM,881,0.0,0.0,-1
02/08/2013 11:50:32 PM,422,2.0,16.0,17
02/13/2013 11:50:32 PM,765,0.0,0.0,-1
01/16/2013 11:50:32 PM,1183,0.0,0.0,-1
02/20/2013 11:50:32 PM,174,2.0,11.0,25
01/27/2013 11:50:32 PM,1189,1.0,2.0,22
02/12/2013 11:50:32 PM,1100,1.0,12.0,25
12/29/2014 11:50:32 PM,454,1.0,12.0,12
02/10/2013 11:50:32 PM,782,1.0,9.0,16
01/18/2013 11:50:32 PM,942,3.0,16.0,17
12/18/2014 11:50:32 PM,484,1.0,7.0,33
12/20/2014 11:50:32 PM,808,1.0,1.0,30
02/05/2013 11:50:32 PM,908,0.0,0.0,-1
12/06/2014 11:50:32 PM,255,0.0,0.0,-1
02/18/2013 11:50:32 PM,835,1.0,4.0,25
12/01/2014 11:50:32 PM,1303,1.0,2.0,23
01/15/2013 11:50:32 PM,513,2.0,8.0,23
01/28/2013 11:50:32 PM,364,3.0,16.0,29
12/27/2014 11:50:32 PM,706,0.0,0.0,-1
02/06/2013 11:50:32 PM,859,3.0,4.0,29
12/05/2014 11:50:32 PM,829,0.0,0.0,-1
12/09/2014 11:50:32 PM,883,1.0,2.0,20
01/16/2013 11:50:32 PM,99,1.0,5.0,20
12/14/2014 11:50:32 PM,1050,0.0,0.0,-1
12/12/2014 11:50:32 PM,363,1.0,5.0,29
12/23/2014 11:50:32 PM,1001,0.0,0.0,-1
12/04/2014 11:50:32 PM,488,1.0,15.0,21
02/14/2013 11:50:32 PM,565,0.0,0.0,-1
12/28/2014 11:50:32 PM,374,0.0,0.0,-1
02/09/2013 11:50:32 PM,1216,0.0,0.0,-1
02/28/2013 11:50:32 PM,1133,2.0,10.0,35
12/27/2014 11:50:32 PM,1217,1.0,1.0,26
12/03/2014 11:50:32 PM,1101,1.0,6.0,23
01/22/2013 11:50:32 PM,133,1.0,2.0,28
12/08/2014 11:50:32 PM,625,1.0,10.0,22
12/13/2014 11:50:32 PM,949,0.0,0.0,-1
12/15/2014 11:50:32 PM,842,0.0,0.0,-1
12/05/2014 11:50:32 PM,1282,1.0,8.0,17
11/28/2014 11:50:32 PM,118,1.0,5.0,16
12/09/2014 11:50:32 PM,199,0.0,0.0,-1
02/10/2013 11:50:32 PM,1193,0.0,0.0,-1
01/23/2013 11:50:32 PM,629,3.0,17.0,24
01/21/2013 11:50:32 PM,506,2.0,11.0,30
12/22/2014 11:50:32 PM,1213,3.0,17.0,20
01/30/2013 11:50:32 PM,642,2.0,9.0,25
11/26/2014 11:50:32 PM,1241,1.0,7.0,25
02/10/2013 11:50:32 PM,322,0.0,0.0,-1
12/29/2014 11:50:32 PM,803,3.0,16.0,25
02/20/2013 11:50:32 PM,966,0.0,0.0,-1
01/29/2013 11:50:32 PM,498,6.0,19.0,14
12/22/2014 11:50:32 PM,832,0.0,0.0,-1
02/20/2013 11:50:32 PM,1059,0.0,0.0,-1
01/28/2013 11:50:32 PM,1274,1.0,9.0,18
01/26/2013 11:50:32 PM,573,1.0,12.0,16
12/24/2014 11:50:32 PM,881,1.0,5.0,23
12/04/2014 11:50:32 PM,845,1.0,11.0,16
02/26/2013 11:50:32 PM,1037,0.0,0.0,-1
12/30/2014 11:50:32 PM,642,1.0,6.0,31
02/25/2013 11:50:32 PM,111,1.0,1.0,26
12/01/2014 11:50:32 PM,72,1.0,4.0,23
01/30/2013 11:50:32 PM,955,0.0,0.0,-1
02/01/2013 11:50:32 PM,1301,7.0,40.0,16
11/25/2014 11:50:32 PM,505,1.0,10.0,26
01/22/2013 11:50:32 PM,144,2.0,10.0,24
01/20/2013 11:50:32 PM,624,1.0,8.0,18
02/04/2013 11:50:32 PM,316,0.0,0.0,-1
02/03/2013 11:50:32 PM,1242,0.0,0.0,-1
12/05/2014 11:50:32 PM,228,4.0,27.0,14
11/28/2014 11:50:32 PM,31,1.0,7.0,19
12/26/2014 11:50:32 PM,683,1.0,5.0,20
11/28/2014 11:50:32 PM,385,1.0,4.0,30
02/28/2013 11:50:32 PM,718,1.0,8.0,35
02/17/2013 11:50:32 PM,1104,1.0,3.0,26
12/07/2014 11:50:32 PM,895,0.0,0.0,-1
12/01/2014 11:50:32 PM,1230,0.0,0.0,-1
12/07/2014 11:50:32 PM,501,1.0,8.0,25
02/06/2013 11:50:32 PM,877,1.0,2.0,20
12/28/2014 11:50:32 PM,178,1.0,4.0,11
02/12/2013 11:50:32 PM,62,1.0,6.0,31
02/22/2013 11:50:32 PM,1104,3.0,30.0,18
01/30/2013 11:50:32 PM,822,1.0,6.0,22
12/11/2014 11:50:32 PM,296,1.0,4.0,23
12/05/2014 11:50:32 PM,946,0.0,0.0,-1
12/19/2014 11:50:32 PM,759,0.0,0.0,-1
02/23/2013 11:50:32 PM,1242,1.0,5.0,35
12/12/2014 11:50:32 PM,1189,1.0,2.0,22
01/16/2013 11:50:32 PM,121,0.0,0.0,-1
02/11/2013 11:50:32 PM,374,0.0,0.0,-1
01/18/2013 11:50:32 PM,510,2.0,10.0,21
02/22/2013 11:50:32 PM,104,1.0,4.0,22
12/16/2014 11:50:32 PM,221,2.0,10.0,32
02/27/2013 11:50:32 PM,1264,0.0,0.0,-1
11/25/2014 11:50:32 PM,426,1.0,7.0,14
01/19/2013 11:50:32 PM,556,0.0,0.0,-1
02/17/2013 11:50:32 PM,1266,0.0,0.0,-1
12/04/2014 11:50:32 PM,177,0.0,0.0,-1
01/16/2013 11:50:32 PM,945,0.0,0.0,-1
02/13/2013 11:50:32 PM,602,1.0,2.0,32
12/19/2014 11:50:32 PM,1225,2.0,15.0,19
01/27/2013 11:50:32 PM,203,0.0,0.0,-1
12/02/2014 11:50:32 PM,1257,1.0,7.0,21
12/22/2014 11:50:32 PM,1105,1.0,7.0,21
12/15/2014 11:50:32 PM,713,0.0,0.0,-1
02/04/2013 11:50:32 PM,1299,0.0,0.0,-1
12/24/2014 11:50:32 PM,408,1.0,6.0,19
12/06/2014 11:50:32 PM,699,2.0,16.0,15
12/12/2014 11:50:32 PM,230,2.0,8.0,34
11/30/2014 11:50:32 PM,200,0.0,0.0,-1
01/21/2013 11:50:32 PM,387,1.0,4.0,26
01/25/2013 11:50:32 PM,173,0.0,0.0,-1
02/14/2013 11:50:32 PM,878,2.0,13.0,8
11/26/2014 11:50:32 PM,423,1.0,9.0,19
12/14/2014 11:50:32 PM,377,1.0,4.0,19
12/21/2014 11:50:32 PM,721,0.0,0.0,-1
01/17/2013 11:50:32 PM,950,0.0,0.0,-1
02/16/2013 11:50:32 PM,310,1.0,6.0,18
02/10/2013 11:50:32 PM,136,0.0,0.0,-1
